"λ_H","λ_E","θ","p_H","p_E","tr_prioH","tr_prioE"
0.2,5.0,0.038461538461538464,0.002,0.5,200.40387838448646,406.2858348566606
0.4,5.0,0.07407407407407407,0.002,0.5,212.72838908644366,395.4134083463666
0.6,5.0,0.10714285714285715,0.002,0.5,211.05286245521683,401.8929790947503
0.8,5.0,0.13793103448275862,0.002,0.5,217.46357514569942,397.07435170259316
1.0,5.0,0.16666666666666666,0.002,0.5,222.39575041699834,402.4009463962144
1.2,5.0,0.1935483870967742,0.002,0.5,224.97054678447955,407.4306802772789
1.4,5.0,0.21874999999999997,0.002,0.5,231.79318997009725,409.27776574607987
1.6,5.0,0.24242424242424246,0.002,0.5,239.28346286614854,413.6025180899276
1.8,5.0,0.2647058823529412,0.002,0.5,247.1323848037941,415.3413853011254
2.0,5.0,0.2857142857142857,0.002,0.5,255.90395438418247,419.4178403286387
2.2,5.0,0.3055555555555556,0.002,0.5,257.72109457016717,421.7211203882457
2.4,5.0,0.3243243243243243,0.002,0.5,274.2329064017077,432.2169477988755
2.6,5.0,0.34210526315789475,0.002,0.5,281.3783098713759,434.6553044557053
2.8,5.0,0.358974358974359,0.002,0.5,288.8698802347647,447.63122376081924
3.0,5.0,0.375,0.002,0.5,295.9103710251826,453.00920262985613
3.2,5.0,0.39024390243902446,0.002,0.5,315.60900631397476,463.53245962016155
3.4,5.0,0.4047619047619047,0.002,0.5,332.28177440231406,482.75247604891933
3.6,5.0,0.4186046511627907,0.002,0.5,344.3455381734029,500.0969107234683
3.8,5.0,0.43181818181818177,0.002,0.5,364.10954671970785,499.9715053771364
4.0,5.0,0.4444444444444444,0.002,0.5,390.40923936304256,532.8471076115695
4.2,5.0,0.4565217391304348,0.002,0.5,417.6030381592759,554.7508838536075
4.4,5.0,0.46808510638297873,0.002,0.5,445.72866799441897,587.0873489233315
4.6,5.0,0.47916666666666663,0.002,0.5,493.51742071292585,634.0077987514136
4.8,5.0,0.48979591836734687,0.002,0.5,582.809992093365,706.3482537736517
5.0,5.0,0.5,0.002,0.5,666.546709013164,813.9459490162039
5.2,5.0,0.5098039215686275,0.002,0.5,977.0622648278638,1088.284825322237
5.4,5.0,0.5192307692307693,0.002,0.5,1723.445623995282,1572.057005105313
5.6,5.0,0.5283018867924528,0.002,0.5,2392.691492091174,2478.9372785366004
5.8,5.0,0.537037037037037,0.002,0.5,3051.730088252061,3029.957678789974
6.0,5.0,0.5454545454545454,0.002,0.5,3499.5378658485365,3555.830412678349
6.2,5.0,0.5535714285714286,0.002,0.5,3978.3525678800506,3977.2335194530187
6.4,5.0,0.5614035087719298,0.002,0.5,4382.8903796884815,4405.519555421778
6.6,5.0,0.5689655172413793,0.002,0.5,4695.699743261633,4777.575501819205
6.8,5.0,0.5762711864406779,0.002,0.5,5048.887630331831,5041.355201638017
7.0,5.0,0.5833333333333334,0.002,0.5,5397.97783094582,5309.837175508442
7.2,5.0,0.5901639344262296,0.002,0.5,5551.233452843966,5592.1611824663805
7.4,5.0,0.5967741935483871,0.002,0.5,5779.180649763887,5837.562806505531
7.6,5.0,0.6031746031746031,0.002,0.5,5993.391382223946,6062.671045105293
7.8,5.0,0.609375,0.002,0.5,6125.424505481465,6165.813358285029
8.0,5.0,0.6153846153846154,0.002,0.5,6310.4448422206315,6286.966558133768
8.2,5.0,0.6212121212121212,0.002,0.5,6439.355515748668,6438.614533346745
8.4,5.0,0.6268656716417911,0.002,0.5,6504.627361490554,6495.454612467263
8.6,5.0,0.6323529411764706,0.002,0.5,6702.921894358933,6626.061617613995
8.8,5.0,0.6376811594202899,0.002,0.5,6629.159763360946,6746.136788180121
9.0,5.0,0.6428571428571429,0.002,0.5,6795.247638565001,6877.562627527269
9.2,5.0,0.647887323943662,0.002,0.5,6849.040202100062,6875.250855518317
9.4,5.0,0.6527777777777778,0.002,0.5,6939.3184052795705,6854.509936002809
9.6,5.0,0.6575342465753424,0.002,0.5,6910.478479752748,6927.984163063347
9.8,5.0,0.6621621621621622,0.002,0.5,6970.769845900208,7010.733813391278
10.0,5.0,0.6666666666666666,0.002,0.5,7083.510926756292,7066.99261762953
10.2,5.0,0.6710526315789473,0.002,0.5,6962.541076894515,7005.879241581074
10.4,5.0,0.6753246753246753,0.002,0.5,7012.646096338692,7049.014827017615
10.6,5.0,0.6794871794871795,0.002,0.5,7050.697797963525,7024.333563043107
10.8,5.0,0.6835443037974683,0.002,0.5,7022.326035140304,6995.637738189787
11.0,5.0,0.6875,0.002,0.5,7019.9698503024165,7053.624768046382
11.2,5.0,0.691358024691358,0.002,0.5,7048.486156769659,7047.177512718521
11.4,5.0,0.6951219512195123,0.002,0.5,7024.3096978489275,7006.940659254907
11.6,5.0,0.6987951807228915,0.002,0.5,7052.5497408355195,6971.850100875458
11.8,5.0,0.7023809523809524,0.002,0.5,7029.592862645498,7002.026299013449
12.0,5.0,0.7058823529411765,0.002,0.5,7017.704297182811,7042.099082937002
12.2,5.0,0.7093023255813954,0.002,0.5,6981.854173566912,6962.684344016723
12.4,5.0,0.7126436781609197,0.002,0.5,6917.262698045982,6994.215906362182
12.6,5.0,0.7159090909090908,0.002,0.5,6910.596342376534,6956.282028205221
12.8,5.0,0.7191011235955056,0.002,0.5,6890.056111025556,6920.110793931824
13.0,5.0,0.7222222222222222,0.002,0.5,6884.686560330682,6890.944803605401
13.2,5.0,0.7252747252747253,0.002,0.5,6845.242226909881,6858.974056831044
13.4,5.0,0.7282608695652175,0.002,0.5,6856.2609654039,6805.3449039935185
13.6,5.0,0.7311827956989246,0.002,0.5,6781.521120386106,6773.164410871768
13.8,5.0,0.7340425531914894,0.002,0.5,6742.066743037376,6778.899239185651
14.0,5.0,0.7368421052631579,0.002,0.5,6747.37971333829,6761.053568928581
14.2,5.0,0.7395833333333334,0.002,0.5,6738.641140646705,6741.912216013108
14.4,5.0,0.7422680412371134,0.002,0.5,6646.407245482129,6691.6408189922795
14.6,5.0,0.7448979591836734,0.002,0.5,6602.959923502773,6655.508904539724
14.8,5.0,0.7474747474747475,0.002,0.5,6596.273774364362,6672.22110625071
